,minute_idx,PersonenAnzahl,temp,rgb_value
0,0,0.0,18.0,"(221, 96, 76)"
1,243,2.0,22.35893812850464,"(221, 96, 76)"
2,251,3.0,21.099088213780004,"(243, 197, 175)"
3,288,2.0,22.837762177442123,"(191, 40, 46)"
4,299,1.0,19.00030008279511,"(123, 158, 248)"
5,304,0.0,18.17089552634912,"(67, 90, 204)"
6,843,3.0,20.11111617142535,"(199, 214, 240)"
7,847,5.0,18.697850202756964,"(101, 134, 236)"
8,848,7.0,22.23154321689391,"(228, 110, 86)"
9,850,8.0,22.31490659313208,"(224, 102, 80)"
10,851,9.0,19.43841071326192,"(153, 186, 254)"
11,852,10.0,20.714699903808757,"(231, 214, 205)"
12,853,11.0,19.026078263410813,"(124, 160, 249)"
13,879,10.0,18.646383881959835,"(99, 131, 234)"
14,882,8.0,20.41315672903466,"(216, 219, 225)"
15,885,7.0,19.307321123315795,"(144, 178, 254)"
16,886,6.0,21.420415095893723,"(247, 177, 148)"
17,891,5.0,22.58405126990475,"(209, 73, 62)"
18,900,4.0,20.89371678375759,"(238, 207, 190)"
19,905,1.0,19.261280748350988,"(141, 175, 253)"
20,906,0.0,21.545708772041973,"(246, 169, 138)"
21,1441,2.0,18.44760683762751,"(85, 113, 222)"
22,1442,3.0,20.575542580515226,"(224, 218, 215)"
23,1444,4.0,22.882646174845103,"(188, 31, 44)"
24,1445,7.0,20.58684780811049,"(225, 218, 214)"
25,1446,8.0,18.60765191121828,"(96, 128, 232)"
26,1449,9.0,18.36000415824859,"(80, 107, 218)"
27,1450,10.0,20.794645709862998,"(235, 211, 198)"
28,1451,12.0,18.24251980546772,"(72, 96, 209)"
29,1476,11.0,21.698478265726745,"(244, 157, 126)"
30,1480,10.0,18.620384834261053,"(96, 128, 232)"
31,1485,9.0,20.38728054855384,"(215, 219, 226)"
32,1491,8.0,18.686260445126837,"(101, 134, 236)"
33,1513,6.0,19.033644344811037,"(124, 160, 249)"
34,1514,2.0,19.84170371483169,"(182, 206, 249)"
35,1515,1.0,19.28858534763148,"(142, 177, 253)"
36,1584,0.0,22.67610675678756,"(202, 61, 56)"
37,2041,1.0,22.76182629912791,"(197, 50, 51)"
38,2045,5.0,20.042567627684974,"(194, 212, 243)"
39,2048,6.0,20.79341713340463,"(235, 211, 198)"
40,2049,8.0,19.57423542054945,"(163, 193, 254)"
41,2051,10.0,22.29246707225945,"(225, 104, 82)"
42,2053,11.0,18.6304852826142,"(97, 130, 234)"
43,2055,12.0,20.260443889352388,"(207, 217, 234)"
44,2077,10.0,22.15947179455561,"(231, 117, 92)"
45,2080,9.0,21.270080175070547,"(246, 187, 160)"
46,2083,8.0,21.9510308244853,"(238, 135, 106)"
47,2089,5.0,18.99446760882011,"(122, 157, 248)"
48,2096,3.0,20.48150835309976,"(220, 220, 221)"
49,2100,1.0,21.719301551418237,"(244, 155, 124)"
50,2104,0.0,19.48967367136148,"(157, 189, 254)"
51,2644,1.0,21.940044058214998,"(239, 137, 108)"
52,2647,3.0,21.47072604560628,"(247, 174, 145)"
53,2648,4.0,18.32980673137992,"(77, 103, 215)"
54,2649,5.0,21.51822301508584,"(246, 170, 140)"
55,2680,4.0,20.215196411048563,"(205, 217, 236)"
56,2692,3.0,21.034113038143783,"(242, 200, 179)"
57,2699,2.0,20.6032834572788,"(226, 217, 212)"
58,2700,1.0,21.87054468393378,"(241, 142, 112)"
59,2712,0.0,21.18829329965432,"(245, 192, 167)"
