,minute_idx,start,ziel
0,0,Übergang,Übergang
1,34,Übergang,Übergang
2,37,5C-05.2,5C-05.2
3,141,5C-05.2,5C-05.2
4,191,5C-05.2,5C-05.2
5,243,Küche 5. OG,Küche 5. OG
6,304,5C-05.2,5C-05.2
7,348,5C-05.2,5C-05.2
8,412,5C-05.2,5C-05.2
9,466,5C-05.2,5C-05.2
10,556,Übergang,Übergang
11,600,Übergang,Übergang
12,602,5C-05.2,5C-05.2
13,694,5C-05.2,5C-05.2
14,748,5C-05.2,5C-05.2
15,808,Herren WC 5. OG,Herren WC 5. OG
16,847,Küche 5. OG,Küche 5. OG
17,900,5C-05.2,5C-05.2
18,959,5C-15,5C-15
19,996,5C-05.2,5C-05.2
20,1063,5C-05.2,5C-05.2
21,1105,5C-05.2,5C-05.2
22,1126,5C-15,5C-15
23,1167,Übergang,Übergang
24,1246,Übergang,Übergang
25,1265,5C-05.2,5C-05.2
26,1344,5C-05.2,5C-05.2
27,1446,Küche 5. OG,Küche 5. OG
28,1513,Küche 5. OG,Küche 5. OG
29,1568,5C-05.2,5C-05.2
30,1662,5C-05.2,5C-05.2
31,1775,Übergang,Übergang
32,1821,Übergang,Übergang
33,1824,5C-05.2,5C-05.2
34,1858,Küche 5. OG,Küche 5. OG
35,1949,Küche 5. OG,Küche 5. OG
36,2028,5C-05.2,5C-05.2
37,2049,Küche 5. OG,Küche 5. OG
38,2096,5C-05.2,5C-05.2
39,2180,5C-05.2,5C-05.2
40,2242,5C-05.2,5C-05.2
41,2291,5C-05.2,5C-05.2
42,2348,5C-05.2,5C-05.2
43,2372,Übergang,Übergang
44,2430,Übergang,Übergang
45,2432,5C-05.2,5C-05.2
46,2502,5C-05.2,5C-05.2
47,2546,5C-05.2,5C-05.2
48,2647,Küche 5. OG,Küche 5. OG
49,2712,5C-05.2,5C-05.2
50,2778,Küche 5. OG,Küche 5. OG
51,2828,5C-05.2,5C-05.2
52,2875,5C-05.2,5C-05.2
53,2913,5C-05.2,5C-05.2
54,2945,Übergang,Übergang
